,artist,artist_uri,song,song_uri,duration_ms,explicit,album,popularity
0,Doja Cat,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,Kiss Me More (feat. SZA),spotify:track:748mdHapucXQri7IAO8yFK,208866,True,Kiss Me More (feat. SZA),96
1,IU,spotify:artist:3HqSLMAZ3g3d5poNaI7GOU,LILAC,spotify:track:5xrtzzzikpG3BLbo4q1Yul,214253,False,IU 5th Album 'LILAC',74
2,Kali Uchis,spotify:artist:1U1el3k54VvEUzo3ybLPlM,telepatía,spotify:track:6tDDoYIxWvMLTdKpjFkc1B,160191,False,Sin Miedo (del Amor y Otros Demonios) ∞,90
3,PURPLE KISS,spotify:artist:62T5PGHWJ9sxP2SJq20IHq,Ponzona,spotify:track:597wvQ0bqfJgszRg4eDVy1,191973,False,INTO VIOLET,57
4,DPR LIVE,spotify:artist:0siBQaURCli5wn2lqv8WZg,Jasmine,spotify:track:2IgbYlOlFpiSFYnsqB39lM,201510,False,Jasmine,64
5,DEAN,spotify:artist:3eCd0TZrBPm2n9cDG6yWfF,D (Half Moon),spotify:track:3uA8SjMyDtwtt0jLPMQbVD,229359,False,130 Mood : TRBL,63
6,Chloe x Halle,spotify:artist:0AsThoR4KZSVktALiNcQwW,Do It,spotify:track:35Dh5MnCUPLN3XyAVtQff3,176786,False,Ungodly Hour,69
7,Crush,spotify:artist:6aLdhHUqgdKE86xbtNmY8g,be by my side,spotify:track:1K3N3pF1uu1WPRD2QFEz06,213320,False,be by my side,46
8,Hoody,spotify:artist:7lXgbtBDcCRbfc5f8FhGUL,HANGANG,spotify:track:4UeBknW6SpdoPumvc5r54O,200488,False,HANGANG,17
9,Crush,spotify:artist:6aLdhHUqgdKE86xbtNmY8g,be by my side,spotify:track:61nHajLq0uUI8khXsfxvQI,213320,False,be by my side,11
10,Monsune,spotify:artist:6NgYKD0TKGjwtRFqTyyqKF,OUTTA MY MIND,spotify:track:7zTTDkkLkJ2iHAqq1daDCr,226005,False,OUTTA MY MIND,64
11,DEAN,spotify:artist:3eCd0TZrBPm2n9cDG6yWfF,What 2 Do - Instrumental,spotify:track:35B6E05g0zguwhs5xKodVK,225780,False,What 2 Do (Instrumental),25
12,DPR IAN,spotify:artist:2o8gT0fQmFxGNbowbdgeZe,zombie pop,spotify:track:5zhMMVw097YOSvT0oDGgDV,114380,False,DPR ARCHIVES,58
13,Eric Nam,spotify:artist:2FLqlgckDKdmpBrvLAT5BM,Can't Help Myself (feat. LOCO),spotify:track:2orlgIY1OBWBDQgmkHZHct,189158,False,Can't Help Myself (feat. LOCO),43
14,MAX,spotify:artist:1bqxdqvUtPWZri43cKHac8,Blueberry Eyes (feat. SUGA of BTS),spotify:track:5dn6QANKbf76pANGjMBida,172244,False,Blueberry Eyes (feat. SUGA of BTS),73
15,IU,spotify:artist:3HqSLMAZ3g3d5poNaI7GOU,Troll (Feat. DEAN),spotify:track:64P4md3mdMM8Dog2aThmzj,189920,False,IU 5th Album 'LILAC',60
16,DEAN,spotify:artist:3eCd0TZrBPm2n9cDG6yWfF,What 2 Do,spotify:track:6GS3lnAVy5w6AHWEKYzYeS,224098,False,130 Mood : TRBL,58
17,KYLE,spotify:artist:4qBgvVog0wzW75IQ48mU7v,Don't Wanna Fall In Love,spotify:track:1YakuHfzKxjnseCEeVQtrY,232368,True,Smyle (Extended),70
18,GSoul,spotify:artist:4oEXworvhegyK83rZwVyWL,Broken Record,spotify:track:4TF240Qq2I1cr2Ysvfps4d,192360,False,Hate Everything,57
19,Park Bird,spotify:artist:7bVJIMenC0rlgot8O60qpF,Morning Walk,spotify:track:53eKx8ec2jDjt1m3VBUCEM,142736,False,No Pressure,32
20,Hoody,spotify:artist:7lXgbtBDcCRbfc5f8FhGUL,HANGANG,spotify:track:6nSHtgTH5a959xPucs6Ilb,200488,False,HANGANG,53
